frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.248485,2.172970
0.248447,2.176209
0.248457,2.176481
0.248532,2.178213
0.248462,2.175867
0.248512,2.173343
0.248471,2.173754
0.248447,2.174267
0.248480,2.174026
0.248536,2.175215
0.248526,2.176885
0.248464,2.176310
0.248461,2.177366
0.248520,2.177498
0.248455,2.176038
0.248451,2.175152
0.248495,2.175626
0.248490,2.178182
0.248436,2.180878
0.248381,2.181633
0.248401,2.180677
0.248474,2.180023
0.248435,2.175494
0.248515,2.171844
0.248446,2.171439
0.248534,2.172388
0.248422,2.174336
0.248544,2.178927
0.248516,2.180053
0.248518,2.181995
0.248408,2.182005
0.248431,2.182992
0.248441,2.185819
0.248476,2.181965
0.248513,2.181110
0.248515,2.178112
0.248509,2.178725
0.248479,2.182408
0.248409,2.183505
0.248485,2.184792
0.248448,2.185648
0.248478,2.187519
0.248440,2.186876
0.248373,2.181804
0.248496,2.181009
0.248526,2.180325
0.248483,2.181794
0.248497,2.184007
0.248497,2.184007
0.248535,2.187206
0.248454,2.186534
0.248524,2.184379
0.248526,2.181824
0.248478,2.180909
0.248436,2.182378
0.248567,2.184409
0.248430,2.185548
0.248426,2.186162
0.248440,2.186876
0.248449,2.188204
0.248558,2.190304
0.248455,2.191203
0.248494,2.190789
0.248398,2.190460
0.248466,2.189361
0.248488,2.187791
0.248436,2.186433
0.248431,2.189161
0.248452,2.189704
0.248508,2.191503
0.248434,2.191717
0.248446,2.194102
0.248512,2.196785
0.248533,2.196270
0.248490,2.196243
0.248507,2.195286
0.248467,2.194644
0.248474,2.193416
0.248452,2.190760
0.248505,2.192117
0.248482,2.195358
0.248431,2.197172
0.248469,2.198428
0.248482,2.199755
0.248516,2.200568
0.248458,2.199827
0.248469,2.198428
0.248439,2.194273
0.248449,2.193488
0.248464,2.195258
0.248475,2.195529
0.248485,2.200812
0.248461,2.202555
0.248525,2.201452
0.248461,2.202555
0.248522,2.202680
0.248472,2.202825
0.248411,2.201029
0.248478,2.200983
0.248415,2.201471
0.248504,2.204866
0.248579,2.204034
0.248433,2.203856
0.248443,2.204740
0.248477,2.203268
0.248507,2.203638
0.248518,2.206806
0.248513,2.210491
0.248438,2.211939
0.248482,2.210736
0.248506,2.211276
0.248459,2.209581
0.248441,2.208868
0.248457,2.211423
0.248474,2.213364
0.248493,2.213462
0.248444,2.212381
0.248450,2.212823
0.248451,2.210981
0.248454,2.208524
0.248448,2.208696
0.248432,2.213339
0.248505,2.215575
0.248482,2.217491
0.248451,2.217737
0.248456,2.215108
0.248486,2.214248
0.248463,2.211865
0.248468,2.213536
0.248474,2.215206
0.248445,2.217295
0.248515,2.219701
0.248482,2.221961
0.248527,2.225841
0.248543,2.224710
0.248447,2.225623
0.248426,2.224297
0.248508,2.219259
0.248478,2.219505
0.248453,2.219579
0.248471,2.222920
0.248507,2.225129
0.248401,2.228402
0.248502,2.229330
0.248448,2.227638
0.248475,2.226777
0.248520,2.225399
0.248487,2.221789
0.248512,2.221715
0.248431,2.220882
0.248492,2.221003
0.248514,2.222943
0.248429,2.225526
0.248421,2.227099
0.248504,2.231344
0.248427,2.231743
0.248446,2.233240
0.248484,2.234834
0.248502,2.232130
0.248389,2.232949
0.248416,2.230687
0.248496,2.232303
0.248489,2.236848
0.248456,2.236483
0.248448,2.236041
0.248371,2.234253
0.248419,2.231301
0.248416,2.232087
0.248461,2.236310
0.248446,2.239015
0.248510,2.238345
0.248523,2.242373
0.248409,2.242583
0.248508,2.244463
0.248504,2.242277
0.248498,2.239476
0.248520,2.235814
0.248487,2.235448
0.248446,2.234641
0.248507,2.233358
0.248422,2.236904
0.248457,2.238670
0.248462,2.242257
0.248427,2.243465
0.248527,2.244559
0.248451,2.244962
0.248500,2.242449
0.248439,2.240760
0.248543,2.241683
0.248500,2.242449
0.248500,2.242449
0.248481,2.242353
0.248504,2.242277
0.248533,2.242028
0.248410,2.241796
0.248455,2.244789
0.248441,2.245307
0.248471,2.248204
0.248515,2.249795
0.248435,2.250372
0.248400,2.249221
0.248418,2.248530
0.248465,2.245230
0.248503,2.243849
0.248414,2.242410
0.248455,2.244789
0.248465,2.246017
0.248423,2.247571
0.248465,2.246017
0.248517,2.246477
0.248504,2.243063
0.248470,2.243485
0.248474,2.245672
0.248485,2.248472
0.248469,2.254054
0.248428,2.256569
0.248434,2.257183
0.248384,2.251486
0.248432,2.247226
0.248471,2.242698
0.248419,2.242237
0.248423,2.242851
0.248460,2.246189
0.248494,2.247340
0.248491,2.249872
0.248472,2.253095
0.248472,2.253095
0.248450,2.253959
0.248473,2.255627
0.248437,2.254477
0.248469,2.254054
0.248429,2.249758
0.248459,2.251081
0.248382,2.249912
0.248459,2.251081
0.248454,2.250467
0.248503,2.246995
0.248460,2.246189
0.248475,2.247244
0.248456,2.247149
0.248451,2.248108
0.248457,2.248722
0.248523,2.248663
0.248422,2.251677
0.248499,2.252058
0.248444,2.250026
0.248504,2.248568
0.248442,2.247667
0.248432,2.246439
0.248514,2.248222
0.248445,2.250813
0.248489,2.251618
0.248471,2.254841
0.248559,2.255662
0.248424,2.254996
0.248389,2.252100
0.248445,2.250813
0.248447,2.248281
0.248451,2.248108
0.248484,2.246899
0.248485,2.247686
0.248467,2.249949
0.248490,2.252404
0.248494,2.252231
0.248466,2.248376
0.248413,2.245556
0.248460,2.244616
0.248417,2.246170
0.248437,2.247839
0.248424,2.249144
0.248473,2.250563
0.248400,2.252541
0.248402,2.250795
0.248419,2.249317
0.248447,2.248281
0.248474,2.245672
0.248403,2.245902
0.248470,2.246631
0.248471,2.248204
0.248432,2.247226
0.248422,2.246784
0.248451,2.245748
0.248460,2.245403
0.248470,2.244271
0.248394,2.244674
0.248413,2.244770
0.248447,2.241988
0.248474,2.239553
0.248490,2.242794
0.248413,2.243983
0.248446,2.244348
0.248470,2.243485
0.248451,2.243389
0.248518,2.242545
0.248480,2.243926
0.248451,2.243389
0.248519,2.241759
0.248468,2.237538
0.248422,2.234716
0.248497,2.237290
0.248540,2.237310
0.248463,2.237711
0.248439,2.237787
0.248515,2.238173
0.248489,2.239035
0.248491,2.238249
0.248467,2.238325
0.248458,2.237883
0.248501,2.237904
0.248444,2.237614
0.248494,2.233089
0.248411,2.229458
0.248479,2.228005
0.248451,2.231667
0.248476,2.234393
0.248514,2.235986
0.248458,2.235696
0.248452,2.234468
0.248444,2.235427
0.248467,2.232550
0.248430,2.233757
0.248427,2.230342
0.248515,2.227585
0.248456,2.230094
0.248414,2.228672
0.248452,2.228866
0.248444,2.226410
0.248423,2.225698
0.248513,2.226971
0.248537,2.226896
0.248440,2.225181
0.248433,2.222110
0.248546,2.220682
0.248481,2.224590
0.248384,2.224889
0.248429,2.225526
0.248529,2.226455
0.248508,2.223115
0.248462,2.221250
0.248459,2.222650
0.248432,2.221496
0.248479,2.220733
0.248422,2.219211
0.248456,2.215108
0.248414,2.216312
0.248444,2.213610
0.248456,2.212651
0.248518,2.212161
0.248396,2.211300
0.248444,2.212995
0.248487,2.215476
0.248414,2.216926
0.248444,2.214224
0.248493,2.213462
0.248444,2.215452
0.248475,2.217049
0.248414,2.216926
0.248371,2.214445
0.248339,2.208104
0.248376,2.202501
0.248466,2.202997
0.248513,2.203466
0.248430,2.205084
0.248423,2.205256
0.248479,2.204938
0.248461,2.202555
0.248487,2.200198
0.248435,2.200956
0.248467,2.200712
0.248408,2.203928
0.248456,2.207296
0.248469,2.204054
0.248377,2.201887
0.248425,2.197344
0.248484,2.192631
0.248526,2.191603
0.248505,2.190004
0.248534,2.189319
0.248420,2.189946
0.248420,2.191003
0.248438,2.192160
0.248436,2.194887
0.248486,2.195800
0.248444,2.195772
0.248499,2.197128
0.248467,2.193587
0.248452,2.189704
0.248467,2.184692
0.248486,2.180737
0.248462,2.179309
0.248426,2.180606
0.248482,2.184350
0.248413,2.189061
0.248395,2.188961
0.248508,2.191503
0.248491,2.189290
0.248472,2.186634
0.248497,2.184007
0.248459,2.178866
0.248450,2.178594
0.248466,2.176753
0.248522,2.175999
0.248501,2.175013
0.248469,2.173311
0.248531,2.173887
0.248501,2.175013
0.248497,2.178011
0.248472,2.178081
0.248515,2.176170
0.248459,2.174982
0.248459,2.174982
0.248487,2.171028
0.248448,2.169054
0.248397,2.169192
0.248454,2.167997
0.248447,2.168611
0.248523,2.168846
0.248473,2.168985
0.248506,2.168745
0.248394,2.167863
0.248471,2.168099
0.248466,2.169598
0.248470,2.167656
0.248402,2.167693
0.248544,2.166564
0.248516,2.165304
0.248485,2.166872
0.248464,2.164556
0.248480,2.163329
0.248520,2.161149
0.248528,2.157437
0.248486,2.156517
0.248511,2.159105
0.248470,2.161729
0.248437,2.162853
0.248520,2.160706
0.248443,2.158254
0.248426,2.158152
0.248512,2.156006
0.248521,2.155393
0.248444,2.156482
0.248486,2.157845
0.248403,2.155119
0.248482,2.152259
0.248557,2.148685
0.248483,2.148001
0.248539,2.149467
0.248508,2.152191
0.248416,2.151405
0.248462,2.155256
0.248452,2.156312
0.248477,2.157130
0.248454,2.154540
0.248471,2.149499
0.248506,2.148819
0.248418,2.147146
0.248466,2.147898
0.248459,2.144695
0.248510,2.142517
0.248435,2.142274
0.248462,2.141765
0.248484,2.142584
0.248473,2.148613
0.248466,2.152156
0.248497,2.153690
0.248420,2.154335
0.248510,2.150863
0.248511,2.150420
0.248455,2.148953
0.248534,2.147866
0.248481,2.145956
0.248526,2.145107
0.248500,2.145174
0.248415,2.143056
0.248435,2.142274
0.248446,2.141661
0.248503,2.142244
0.248449,2.145307
0.248558,2.143270
0.248522,2.139861
0.248467,2.137234
0.248489,2.139654
0.248472,2.143639
0.248606,2.144022
0.248585,2.140718
0.248470,2.142038
0.248530,2.141735
0.248510,2.142517
0.248483,2.140983
0.248472,2.139551
0.248461,2.140163
0.248526,2.138976
0.248523,2.141462
0.248510,2.142517
0.248547,2.141839
0.248483,2.140983
0.248529,2.140134
0.248514,2.137987
0.248462,2.138119
0.248486,2.138496
0.248467,2.137234
0.248451,2.135528
0.248547,2.136593
0.248528,2.136932
0.248500,2.137441
0.248472,2.136348
0.248533,2.139249
0.248518,2.140747
0.248505,2.139758
0.248500,2.137441
0.248474,2.137507
0.248491,2.139212
0.248547,2.139795
0.248444,2.140060
0.248435,2.140230
0.248504,2.133796
0.248510,2.132910
0.248507,2.133353
0.248508,2.134512
0.248493,2.135566
0.248498,2.137883
0.248442,2.138901
0.248497,2.141529
0.248472,2.143639
0.248492,2.142857
0.248486,2.138496
0.248489,2.134850
0.248474,2.135905
0.248552,2.135708
0.248523,2.136216
0.248432,2.137469
0.248460,2.138562
0.248462,2.138119
0.248472,2.137949
0.248425,2.137196
0.248516,2.137544
0.248551,2.137309
0.248507,2.137714
0.248508,2.140916
0.248497,2.141529
0.248433,2.142717
0.248466,2.140879
0.248494,2.140370
0.248477,2.138665
0.248446,2.136414
0.248505,2.136555
0.248390,2.135829
0.248444,2.136857
0.248528,2.136932
0.248523,2.136216
0.248547,2.138194
0.248492,2.140813
0.248431,2.143160
0.248451,2.142377
0.248504,2.141802
0.248466,2.140879
0.248449,2.139174
0.248470,2.142038
0.248523,2.141462
0.248449,2.142820
0.248386,2.144009
0.248459,2.144695
0.248526,2.142621
0.248462,2.141765
0.248499,2.141086
0.248463,2.139721
0.248518,2.140747
0.248495,2.141971
0.248563,2.141942
0.248500,2.145174
0.248500,2.148103
0.248435,2.150179
0.248478,2.150215
0.248492,2.151646
0.248475,2.147728
0.248467,2.144968
0.248506,2.143403
0.248506,2.143403
0.248507,2.148376
0.248482,2.152701
0.248556,2.154270
0.248478,2.155358
0.248490,2.152974
0.248500,2.151918
0.248545,2.150626
0.248512,2.149977
0.248454,2.149396
0.248504,2.149705
0.248500,2.151918
0.248436,2.155767
0.248511,2.157334
0.248511,2.158220
0.248469,2.159071
0.248486,2.157845
0.248453,2.155426
0.248469,2.156857
0.248494,2.158560
0.248528,2.159208
0.248502,2.158390
0.248477,2.159787
0.248494,2.160332
0.248477,2.160230
0.248392,2.159276
0.248503,2.159719
0.248504,2.161933
0.248483,2.165544
0.248520,2.167518
0.248502,2.166974
0.248460,2.166941
0.248414,2.165137
0.248455,2.164284
0.248481,2.164215
0.248531,2.163635
0.248464,2.164556
0.248500,2.165645
0.248518,2.169902
0.248546,2.173545
0.248539,2.173716
0.248453,2.175595
0.248498,2.174127
0.248484,2.174912
0.248509,2.174842
0.248528,2.175386
0.248471,2.179580
0.248444,2.179208
0.248544,2.178927
0.248447,2.178151
0.248447,2.178151
0.248572,2.179299
0.248409,2.180506
0.248534,2.180154
0.248471,2.179580
0.248411,2.180949
0.248448,2.181593
0.248489,2.182679
0.248504,2.182337
0.248482,2.184350
0.248562,2.185023
0.248462,2.183806
0.248428,2.185105
0.248464,2.184249
0.248503,2.187448
0.248523,2.189047
0.248473,2.191303
0.248466,2.192531
0.248496,2.195015
0.248503,2.194843
0.248541,2.193372
0.248441,2.192602
0.248452,2.192874
0.248526,2.192659
0.248491,2.191403
0.248526,2.192659
0.248420,2.193117
0.248462,2.195872
0.248554,2.195756
0.248557,2.201208
0.248467,2.200712
0.248552,2.200766
0.248476,2.203882
0.248444,2.204126
0.248522,2.204965
0.248464,2.206510
0.248505,2.204252
0.248497,2.202753
0.248420,2.204199
0.248530,2.201895
0.248482,2.203710
0.248449,2.204569
0.248452,2.206239
0.248497,2.208550
0.248539,2.209189
0.248513,2.209876
0.248525,2.210761
0.248544,2.209631
0.248493,2.212848
0.248511,2.212333
0.248488,2.211178
0.248457,2.211423
0.248414,2.212012
0.248450,2.213438
0.248560,2.214641
0.248542,2.212087
0.248426,2.211669
0.248475,2.212750
0.248548,2.214371
0.248474,2.214592
0.248432,2.215796
0.248477,2.218891
0.248538,2.219013
0.248465,2.219235
0.248422,2.218597
0.248484,2.219333
0.248445,2.221766
0.248483,2.225204
0.248554,2.228393
0.248463,2.228521
0.248436,2.225968
0.248468,2.224320
0.248504,2.223901
0.248448,2.223609
0.248511,2.224343
0.248462,2.226507
0.248427,2.222283
0.248515,2.223557
0.248514,2.225571
0.248457,2.226679
0.248484,2.229233
0.248470,2.228963
0.248444,2.228424
0.248499,2.230116
0.248411,2.230859
0.248443,2.232626
0.248451,2.233068
0.248453,2.232281
0.248531,2.231883
0.248496,2.232303
0.248431,2.228155
0.248463,2.228521
0.248539,2.230924
0.248483,2.233434
0.248520,2.238000
0.248503,2.239304
0.248511,2.237559
0.248494,2.234489
0.248475,2.232992
0.248568,2.235662
0.248432,2.236559
0.248463,2.237711
0.248461,2.236310
0.248526,2.237041
0.248442,2.236214
0.248490,2.236062
0.248513,2.234586
0.248484,2.234834
0.248578,2.237503
0.248514,2.241932
0.248527,2.243773
0.248503,2.246209
0.248475,2.243312
0.248523,2.243159
0.248491,2.241222
0.248477,2.240953
0.248416,2.240050
0.248515,2.241145
0.248508,2.243677
0.248509,2.242104
0.248522,2.243945
0.248485,2.242967
0.248449,2.240415
0.248496,2.241049
0.248480,2.243926
0.248508,2.246036
0.248484,2.245326
0.248447,2.242775
0.248514,2.241932
0.248532,2.243600
0.248408,2.243369
0.248495,2.242622
0.248503,2.244636
0.248441,2.246094
0.248537,2.247359
0.248505,2.249354
0.248552,2.249200
0.248494,2.247340
0.248480,2.247858
0.248525,2.250236
0.248457,2.249508
0.248451,2.248108
0.248494,2.247340
0.248484,2.246899
0.248551,2.244483
0.248541,2.244828
0.248404,2.248262
0.248472,2.249776
0.248446,2.251599
0.248462,2.252654
0.248518,2.254685
0.248463,2.253441
0.248465,2.251695
0.248434,2.252904
0.248494,2.252231
0.248478,2.251177
0.248511,2.250754
0.248526,2.251022
0.248373,2.253578
0.248548,2.256966
0.248552,2.256794
0.248464,2.257718
0.248471,2.254841
0.248475,2.254668
0.248463,2.253441
0.248466,2.252481
0.248475,2.252136
0.248506,2.250140
0.248486,2.249258
0.248512,2.251540
0.248552,2.252517
0.248471,2.254841
0.248512,2.257563
0.248450,2.259196
0.248488,2.257641
0.248460,2.256146
0.248546,2.254435
0.248511,2.253286
0.248442,2.252559
0.248462,2.252654
0.248471,2.254841
0.248473,2.257373
0.248496,2.257295
0.248531,2.255912
0.248495,2.258254
0.248488,2.255895
0.248464,2.255973
0.248471,2.256586
0.248502,2.253631
0.248456,2.254573
0.248490,2.254936
0.248516,2.255645
0.248527,2.257830
0.248465,2.259464
0.248464,2.260423
0.248503,2.257908
0.248486,2.256854
0.248505,2.255204
0.248523,2.251981
0.248407,2.253941
0.248480,2.254495
0.248479,2.256241
0.248501,2.258868
0.248507,2.260440
0.248488,2.264009
0.248492,2.265755
0.248508,2.264104
0.248451,2.261902
0.248471,2.256586
0.248527,2.254340
0.248521,2.251195
0.248478,2.251177
0.248508,2.251713
0.248498,2.251272
0.248549,2.253476
0.248506,2.253458
0.248497,2.253804
0.248497,2.253804
0.248488,2.255895
0.248494,2.256509
0.248554,2.257580
0.248435,2.258929
0.248436,2.257969
0.248429,2.260061
0.248460,2.257891
0.248465,2.259464
0.248482,2.258773
0.248442,2.259542
0.248473,2.257373
0.248475,2.254668
0.248457,2.252827
0.248454,2.253786
0.248404,2.254901
0.248499,2.256336
0.248445,2.257623
0.248496,2.257295
0.248508,2.259481
0.248453,2.257278
0.248443,2.255091
0.248484,2.254322
0.248429,2.253077
0.248437,2.254477
0.248499,2.254590
0.248495,2.254763
0.248451,2.256491
0.248521,2.258962
0.248455,2.261729
0.248416,2.261539
0.248404,2.261099
0.248462,2.256932
0.248527,2.254340
0.248484,2.251790
0.248454,2.250467
0.248456,2.247149
0.248461,2.248549
0.248465,2.251695
0.248474,2.253881
0.248469,2.259291
0.248420,2.258661
0.248471,2.256586
0.248471,2.254841
0.248488,2.250831
0.248465,2.247590
0.248533,2.248318
0.248413,2.247916
0.248442,2.248453
0.248517,2.251368
0.248520,2.250409
0.248467,2.249163
0.248471,2.248204
0.248528,2.252595
0.248533,2.256699
0.248529,2.255126
0.248454,2.255532
0.248416,2.253596
0.248512,2.251540
0.248506,2.250140
0.248480,2.247858
0.248494,2.247340
0.248532,2.245173
0.248541,2.244828
0.248456,2.246362
0.248479,2.244712
0.248547,2.247800
0.248465,2.247590
0.248500,2.248740
0.248496,2.249699
0.248503,2.246995
0.248513,2.247436
0.248475,2.246458
0.248509,2.248395
0.248475,2.247244
0.248532,2.245173
0.248475,2.243312
0.248418,2.243024
0.248528,2.242987
0.248446,2.245134
0.248532,2.245959
0.248546,2.246228
0.248498,2.245595
0.248386,2.241086
0.248481,2.241567
0.248533,2.242814
0.248508,2.246036
0.248427,2.245825
0.248484,2.245326
0.248518,2.243332
0.248517,2.244904
0.248508,2.246822
0.248494,2.245767
0.248508,2.245250
0.248527,2.244559
0.248446,2.245134
0.248432,2.245652
0.248476,2.242526
0.248445,2.239801
0.248542,2.236524
0.248514,2.235986
0.248477,2.235793
0.248468,2.237538
0.248474,2.239553
0.248477,2.240953
0.248457,2.241643
0.248477,2.240953
0.248408,2.243369
0.248429,2.241105
0.248383,2.239685
0.248500,2.241663
0.248492,2.240435
0.248464,2.239898
0.248465,2.239111
0.248485,2.236234
0.248480,2.236407
0.248508,2.239131
0.248447,2.241988
0.248495,2.241836
0.248467,2.241298
0.248428,2.241892
0.248472,2.241125
0.248478,2.240166
0.248515,2.238173
0.248449,2.237442
0.248455,2.239456
0.248443,2.241374
0.248510,2.241318
0.248428,2.238918
0.248482,2.235620
0.248470,2.234565
0.248475,2.232992
0.248483,2.232033
0.248486,2.232647
0.248488,2.233261
0.248510,2.233972
0.248487,2.237635
0.248498,2.239476
0.248501,2.237904
0.248472,2.238152
0.248439,2.235600
0.248497,2.233703
0.248577,2.232518
0.248512,2.231786
0.248475,2.231592
0.248430,2.229555
0.248461,2.227907
0.248494,2.230288
0.248494,2.230288
0.248539,2.233724
0.248484,2.234834
0.248510,2.233972
0.248378,2.231893
0.248484,2.229233
0.248472,2.227563
0.248442,2.225795
0.248429,2.227541
0.248521,2.229427
0.248460,2.229308
0.248508,2.229158
0.248446,2.229038
0.248475,2.226777
0.248446,2.227024
0.248464,2.227121
0.248535,2.224268
0.248502,2.225301
0.248473,2.223534
0.248426,2.221668
0.248454,2.220193
0.248528,2.220585
0.248476,2.222134
0.248515,2.220315
0.248489,2.222403
0.248463,2.221864
0.248439,2.221938
0.248453,2.219579
0.248474,2.214592
0.248505,2.213118
0.248432,2.216410
0.248453,2.219579
0.248552,2.220510
0.248486,2.221175
0.248495,2.218375
0.248493,2.216533
0.248463,2.211251
0.248527,2.208919
0.248509,2.208206
0.248486,2.207665
0.248525,2.210761
0.248444,2.212381
0.248456,2.213266
0.248536,2.212259
0.248446,2.210539
0.248522,2.207863
0.248481,2.204324
0.248451,2.203955
0.248431,2.207369
0.248462,2.207124
0.248431,2.207369
0.248443,2.207640
0.248536,2.206905
0.248501,2.206094
0.248482,2.203710
0.248484,2.203096
0.248392,2.203215
0.248400,2.202429
0.248424,2.199015
0.248474,2.197200
0.248485,2.194744
0.248506,2.194229
0.248517,2.197227
0.248476,2.198256
0.248460,2.197543
0.248471,2.199484
0.248458,2.201498
0.248441,2.203070
0.248575,2.201308
0.248481,2.197028
0.248424,2.193559
0.248516,2.192388
0.248484,2.191574
0.248502,2.192730
0.248494,2.191845
0.248505,2.192117
0.248473,2.192359
0.248537,2.191874
0.248455,2.191203
0.248462,2.192088
0.248569,2.190575
0.248488,2.188847
0.248513,2.185164
0.248505,2.185335
0.248553,2.187306
0.248479,2.186463
0.248459,2.188476
0.248484,2.189461
0.248466,2.191474
0.248487,2.192017
0.248474,2.188133
0.248516,2.185607
0.248489,2.182679
0.248491,2.183122
0.248504,2.182337
0.248506,2.181281
0.248507,2.178283
0.248534,2.178655
0.248559,2.180084
0.248496,2.182508
0.248551,2.181754
0.248434,2.180435
0.248386,2.181019
0.248476,2.183464
0.248547,2.183866
0.248483,2.181794
0.248440,2.178322
0.248472,2.176139
0.248526,2.176885
0.248571,2.177358
0.248590,2.177902
0.248455,2.177980
0.248470,2.175696
0.248420,2.175836
0.248474,2.176582
0.248478,2.175525
0.248426,2.177165
0.248486,2.175354
0.248517,2.174671
0.248463,2.173925
0.248471,2.171369
0.248520,2.170788
0.248473,2.171812
0.248461,2.170654
0.248501,2.176955
0.248516,2.176613
0.248492,2.174741
0.248469,2.173311
0.248507,2.169188
0.248493,2.169972
0.248552,2.166393
0.248494,2.167144
0.248475,2.169870
0.248489,2.171471
0.248504,2.173514
0.248498,2.174127
0.248484,2.172527
0.248470,2.170927
0.248471,2.168099
0.248456,2.168883
0.248494,2.167144
0.248466,2.165442
0.248501,2.166088
0.248497,2.163874
0.248499,2.165203
0.248443,2.166839
0.248509,2.169630
0.248432,2.172223
0.248473,2.171812
0.248510,2.172900
0.248481,2.171641
0.248473,2.168985
