frame_size = 20000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9953 
amplitude,phase/rad
0.259662,-2.260809
0.259660,-2.264481
0.259718,-2.264752
0.259718,-2.263835
0.259704,-2.262661
0.259715,-2.263082
0.259679,-2.265489
0.259734,-2.267761
0.259725,-2.270093
0.259759,-2.269521
0.259789,-2.267279
0.259714,-2.264918
0.259663,-2.265234
0.259695,-2.267581
0.259666,-2.269823
0.259619,-2.269975
0.259754,-2.267851
0.259636,-2.265474
0.259641,-2.268981
0.259660,-2.271072
0.259679,-2.273164
0.259754,-2.273688
0.259682,-2.272998
0.259743,-2.272184
0.259652,-2.273405
0.259636,-2.275152
0.259711,-2.273674
0.259682,-2.276083
0.259695,-2.276504
0.259644,-2.277905
0.259694,-2.279754
0.259723,-2.278263
0.259713,-2.278760
0.259684,-2.279168
0.259691,-2.281003
0.259751,-2.282354
0.259747,-2.281436
0.259713,-2.279843
0.259724,-2.277179
0.259696,-2.275420
0.259727,-2.277014
0.259707,-2.278008
0.259601,-2.280060
0.259717,-2.281844
0.259709,-2.283425
0.259643,-2.285823
0.259627,-2.284319
0.259756,-2.284354
0.259666,-2.285746
0.259659,-2.287327
0.259679,-2.287415
0.259683,-2.286000
0.259658,-2.282661
0.259691,-2.282087
0.259657,-2.280493
0.259716,-2.284177
0.259698,-2.285171
0.259691,-2.286752
0.259690,-2.288001
0.259684,-2.289582
0.259721,-2.289925
0.259684,-2.288333
0.259658,-2.288576
0.259688,-2.286918
0.259751,-2.287018
0.259685,-2.287084
0.259658,-2.288576
0.259692,-2.289085
0.259678,-2.291163
0.259825,-2.291449
0.259701,-2.291086
0.259664,-2.289494
0.259646,-2.289239
0.259688,-2.286918
0.259678,-2.289914
0.259673,-2.291495
0.259765,-2.295097
0.259716,-2.298249
0.259696,-2.298161
0.259695,-2.294082
0.259707,-2.292003
0.259649,-2.289073
0.259690,-2.288001
0.259696,-2.287670
0.259698,-2.288753
0.259633,-2.292568
0.259674,-2.295409
0.259752,-2.297341
0.259689,-2.298659
0.259711,-2.298580
0.259709,-2.295916
0.259703,-2.293584
0.259691,-2.292998
0.259744,-2.291096
0.259764,-2.291185
0.259706,-2.293418
0.259676,-2.295243
0.259689,-2.298659
0.259704,-2.299078
0.259716,-2.298249
0.259714,-2.297000
0.259738,-2.294092
0.259706,-2.293418
0.259697,-2.295331
0.259669,-2.295740
0.259697,-2.295331
0.259649,-2.294237
0.259697,-2.295331
0.259696,-2.298161
0.259732,-2.298668
0.259789,-2.300678
0.259735,-2.299917
0.259770,-2.297595
0.259696,-2.296746
0.259729,-2.298834
0.259732,-2.300083
0.259732,-2.295838
0.259714,-2.292920
0.259670,-2.291661
0.259687,-2.290666
0.259687,-2.294579
0.259696,-2.298161
0.259650,-2.301314
0.259704,-2.302074
0.259737,-2.299751
0.259674,-2.299654
0.259775,-2.298678
0.259701,-2.297829
0.259673,-2.296824
0.259712,-2.295750
0.259688,-2.297243
0.259737,-2.295507
0.259762,-2.296678
0.259669,-2.295740
0.259724,-2.297751
0.259697,-2.299576
0.259692,-2.299908
0.259696,-2.298161
0.259669,-2.295740
0.259676,-2.296658
0.259684,-2.294745
0.259682,-2.294911
0.259702,-2.294999
0.259742,-2.296590
0.259648,-2.295652
0.259701,-2.297829
0.259742,-2.298005
0.259688,-2.297243
0.259739,-2.296756
0.259719,-2.296668
0.259633,-2.296648
0.259671,-2.296990
0.259700,-2.293750
0.259703,-2.293584
0.259718,-2.294004
0.259719,-2.295253
0.259763,-2.295263
0.259704,-2.296248
0.259714,-2.298415
0.259749,-2.297507
0.259661,-2.299069
0.259649,-2.299898
0.259747,-2.296258
0.259712,-2.295750
0.259710,-2.294501
0.259656,-2.295155
0.259669,-2.295740
0.259750,-2.290765
0.259684,-2.289582
0.259721,-2.289925
0.259656,-2.292490
0.259729,-2.296004
0.259706,-2.296082
0.259709,-2.295916
0.259746,-2.293594
0.259690,-2.290500
0.259691,-2.286752
0.259749,-2.285935
0.259678,-2.285082
0.259708,-2.287006
0.259716,-2.291506
0.259645,-2.293154
0.259671,-2.292910
0.259733,-2.291760
0.259681,-2.289748
0.259615,-2.289814
0.259713,-2.291671
0.259619,-2.287149
0.259693,-2.284254
0.259750,-2.281270
0.259740,-2.277435
0.259693,-2.284254
0.259710,-2.288090
0.259707,-2.290754
0.259701,-2.289836
0.259728,-2.287095
0.259664,-2.284662
0.259697,-2.280672
0.259730,-2.277931
0.259657,-2.278326
0.259678,-2.277332
0.259717,-2.279678
0.259654,-2.280659
0.259691,-2.281003
0.259677,-2.280583
0.259678,-2.282750
0.259698,-2.282839
0.259671,-2.281998
0.259737,-2.279767
0.259732,-2.275765
0.259685,-2.275917
0.259658,-2.277243
0.259714,-2.277676
0.259797,-2.276785
0.259631,-2.277485
0.259692,-2.275586
0.259649,-2.275572
0.259671,-2.276580
0.259627,-2.274565
0.259717,-2.270424
0.259689,-2.269748
0.259585,-2.270547
0.259662,-2.269989
0.259672,-2.268574
0.259748,-2.270018
0.259732,-2.269762
0.259657,-2.269237
0.259730,-2.264256
0.259695,-2.264827
0.259714,-2.264918
0.259681,-2.269161
0.259704,-2.269085
0.259677,-2.269327
0.259675,-2.266573
0.259652,-2.263894
0.259703,-2.263579
0.259720,-2.261999
0.259640,-2.263473
0.259734,-2.263173
0.259636,-2.264556
0.259763,-2.262015
0.259682,-2.260900
0.259666,-2.260644
0.259671,-2.260479
0.259648,-2.259635
0.259732,-2.258915
0.259676,-2.259395
0.259711,-2.259742
0.259645,-2.257212
0.259680,-2.254219
0.259637,-2.251779
0.259593,-2.253432
0.259712,-2.255484
0.259714,-2.252144
0.259650,-2.250530
0.259659,-2.250200
0.259653,-2.248860
0.259696,-2.249630
0.259693,-2.250548
0.259676,-2.251961
0.259701,-2.252640
0.259603,-2.251431
0.259627,-2.251357
0.259657,-2.247942
0.259652,-2.248107
0.259704,-2.244785
0.259656,-2.244179
0.259704,-2.244032
0.259710,-2.241610
0.259611,-2.241315
0.259652,-2.242839
0.259714,-2.242950
0.259728,-2.243959
0.259724,-2.242619
0.259720,-2.241280
0.259683,-2.240343
0.259638,-2.242582
0.259690,-2.243023
0.259700,-2.241940
0.259654,-2.237736
0.259665,-2.237406
0.259699,-2.237003
0.259630,-2.237809
0.259638,-2.238984
0.259683,-2.237498
0.259735,-2.235848
0.259697,-2.235663
0.259718,-2.237096
0.259685,-2.236746
0.259733,-2.238693
0.259618,-2.236799
0.259670,-2.235148
0.259756,-2.235188
0.259617,-2.235458
0.259642,-2.236726
0.259615,-2.232778
0.259632,-2.229602
0.259645,-2.229860
0.259674,-2.230963
0.259682,-2.232726
0.259618,-2.233365
0.259631,-2.233623
0.259626,-2.229767
0.259659,-2.228778
0.259644,-2.227932
0.259650,-2.229695
0.259650,-2.232376
0.259749,-2.234014
0.259693,-2.233736
0.259618,-2.233365
0.259650,-2.232376
0.259663,-2.232633
0.259642,-2.230613
0.259623,-2.227252
0.259697,-2.225697
0.259610,-2.226994
0.259644,-2.227932
0.259610,-2.230262
0.259644,-2.232540
0.259671,-2.227108
0.259622,-2.228592
0.259697,-2.225697
0.259649,-2.225840
0.259667,-2.229201
0.259666,-2.230541
0.259664,-2.229953
0.259670,-2.228448
0.259635,-2.228850
0.259662,-2.226098
0.259597,-2.224808
0.259657,-2.224335
0.259649,-2.227768
0.259623,-2.230520
0.259644,-2.231200
0.259618,-2.232025
0.259594,-2.232097
0.259610,-2.231602
0.259618,-2.230685
0.259597,-2.230004
0.259649,-2.227768
0.259677,-2.225016
0.259572,-2.224291
0.259640,-2.226757
0.259672,-2.229036
0.259634,-2.230190
0.259735,-2.232417
0.259634,-2.231530
0.259685,-2.233313
0.259642,-2.233293
0.259629,-2.234376
0.259647,-2.233128
0.259613,-2.229509
0.259591,-2.230169
0.259685,-2.229294
0.259592,-2.228829
0.259665,-2.228613
0.259632,-2.229602
0.259575,-2.230664
0.259535,-2.232572
0.259607,-2.233695
0.259660,-2.232046
0.259578,-2.229911
0.259643,-2.229273
0.259611,-2.228922
0.259670,-2.228448
0.259628,-2.231695
0.259634,-2.234211
0.259642,-2.236726
0.259605,-2.238634
0.259713,-2.239353
0.259682,-2.236158
0.259626,-2.232448
0.259637,-2.229437
0.259615,-2.230097
0.259623,-2.230520
0.259631,-2.233623
0.259572,-2.236191
0.259611,-2.237716
0.259632,-2.237056
0.259633,-2.239149
0.259646,-2.239406
0.259610,-2.238469
0.259629,-2.238561
0.259610,-2.236376
0.259634,-2.236303
0.259670,-2.235148
0.259632,-2.234963
0.259642,-2.236726
0.259625,-2.235881
0.259620,-2.238139
0.259611,-2.237716
0.259613,-2.239809
0.259647,-2.236561
0.259665,-2.235313
0.259643,-2.238819
0.259663,-2.238158
0.259726,-2.237518
0.259638,-2.238984
0.259675,-2.239168
0.259703,-2.239683
0.259623,-2.239479
0.259633,-2.239149
0.259652,-2.239241
0.259592,-2.241223
0.259590,-2.243481
0.259575,-2.243977
0.259666,-2.243096
0.259743,-2.241959
0.259646,-2.239406
0.259646,-2.239406
0.259593,-2.240470
0.259679,-2.239756
