frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  15:38:50.155107,1.130837E-3,-5.400150E-2
9/9/2021  15:38:50.155108,1.222269E-3,4.995840E-2
9/9/2021  15:38:50.155108,1.102900E-3,2.516900E-1
9/9/2021  15:38:50.155109,1.099093E-3,2.777064E-2
9/9/2021  15:38:50.155109,1.029522E-3,2.090229E-1
9/9/2021  15:38:50.155110,1.041664E-3,8.800737E-2
9/9/2021  15:38:50.155110,1.068587E-3,2.856366E-2
9/9/2021  15:38:50.155111,1.130837E-3,-5.400150E-2
9/9/2021  15:38:50.155111,1.078995E-3,1.418971E-1
9/9/2021  15:38:50.155112,1.073370E-3,2.587709E-1
9/9/2021  15:38:50.155112,1.072068E-3,8.550529E-2
9/9/2021  15:38:50.155113,1.347319E-3,2.284966E-1
9/9/2021  15:38:50.155113,1.174074E-3,1.566019E-1
9/9/2021  15:38:50.155114,1.110894E-3,2.782997E-1
9/9/2021  15:38:50.155114,1.119246E-3,1.920480E-1
9/9/2021  15:38:50.155115,1.149219E-3,1.869793E-1
9/9/2021  15:38:50.155115,9.539198E-4,1.283232E-1
9/9/2021  15:38:50.155116,1.274859E-3,1.927008E-1
9/9/2021  15:38:50.155116,1.102900E-3,2.516900E-1
9/9/2021  15:38:50.155117,9.465686E-4,-3.224688E-2
9/9/2021  15:38:50.155117,1.132894E-3,8.090410E-2
9/9/2021  15:38:50.155118,1.139452E-3,1.343214E-1
9/9/2021  15:38:50.155118,1.282144E-3,2.380503E-2
9/9/2021  15:38:50.155119,1.254608E-3,-7.304057E-2
9/9/2021  15:38:50.155119,9.504963E-4,9.647378E-2
9/9/2021  15:38:50.155120,1.014485E-3,2.741675E-1
9/9/2021  15:38:50.155120,1.075104E-3,1.137920E-1
9/9/2021  15:38:50.155121,1.239296E-3,1.732457E-1
9/9/2021  15:38:50.155121,1.149219E-3,1.869793E-1
9/9/2021  15:38:50.155122,1.018608E-3,1.503714E-1
9/9/2021  15:38:50.155122,1.102478E-3,8.314123E-2
9/9/2021  15:38:50.155123,9.539198E-4,1.283232E-1
9/9/2021  15:38:50.155123,1.196469E-3,1.022067E-1
9/9/2021  15:38:50.155124,1.007576E-3,3.029376E-2
9/9/2021  15:38:50.155124,9.996879E-4,2.153577E-1
9/9/2021  15:38:50.155125,1.381788E-3,1.106572E-1
9/9/2021  15:38:50.155125,1.405182E-3,4.345090E-2
9/9/2021  15:38:50.155126,1.161312E-3,5.258306E-2
9/9/2021  15:38:50.155126,1.163315E-3,7.878396E-2
9/9/2021  15:38:50.155127,1.204228E-3,1.526493E-1
9/9/2021  15:38:50.155127,1.105431E-3,1.106572E-1
9/9/2021  15:38:50.155128,1.317965E-3,9.275632E-2
9/9/2021  15:38:50.155128,1.190617E-3,-2.563541E-2
9/9/2021  15:38:50.155129,1.221125E-3,-2.499479E-2
9/9/2021  15:38:50.155129,1.252750E-3,4.874185E-2
9/9/2021  15:38:50.155130,1.023625E-3,1.798535E-1
9/9/2021  15:38:50.155130,1.315490E-3,6.965457E-2
9/9/2021  15:38:50.155131,1.193742E-3,7.677189E-2
9/9/2021  15:38:50.155131,1.072068E-3,8.550529E-2
9/9/2021  15:38:50.155132,1.102478E-3,8.314123E-2
9/9/2021  15:38:50.155132,1.132483E-3,2.449787E-1
9/9/2021  15:38:50.155133,1.281054E-3,2.160850E-1
9/9/2021  15:38:50.155133,1.290832E-3,1.184900E-1
9/9/2021  15:38:50.155134,1.166114E-3,1.048769E-1
9/9/2021  15:38:50.155134,1.254608E-3,7.304057E-2
9/9/2021  15:38:50.155135,1.132894E-3,8.090410E-2
9/9/2021  15:38:50.155135,1.095698E-3,2.247112E-1
9/9/2021  15:38:50.155136,1.135768E-3,1.076899E-1
9/9/2021  15:38:50.155136,1.099093E-3,2.777064E-2
9/9/2021  15:38:50.155137,9.281869E-4,1.651487E-1
9/9/2021  15:38:50.155137,1.102900E-3,2.516900E-1
9/9/2021  15:38:50.155138,1.132894E-3,8.090410E-2
9/9/2021  15:38:50.155138,1.038081E-3,2.940329E-2
9/9/2021  15:38:50.155139,1.224172E-3,7.485985E-2
9/9/2021  15:38:50.155139,1.078995E-3,1.418971E-1
9/9/2021  15:38:50.155140,9.539198E-4,1.283232E-1
9/9/2021  15:38:50.155140,1.059395E-3,2.030452E-1
9/9/2021  15:38:50.155141,1.099093E-3,2.777064E-2
9/9/2021  15:38:50.155141,9.770719E-4,3.123983E-2
9/9/2021  15:38:50.155142,1.215008E-3,2.023216E-1
9/9/2021  15:38:50.155142,1.169703E-3,1.308274E-1
9/9/2021  15:38:50.155143,1.166114E-3,1.048769E-1
9/9/2021  15:38:50.155143,1.135768E-3,1.076899E-1
9/9/2021  15:38:50.155144,1.119662E-3,3.045109E-1
9/9/2021  15:38:50.155144,1.191789E-3,5.123717E-2
9/9/2021  15:38:50.155145,9.460765E-4,0.000000E+0
9/9/2021  15:38:50.155145,1.083733E-3,1.697783E-1
9/9/2021  15:38:50.155146,1.199967E-3,1.275096E-1
9/9/2021  15:38:50.155146,9.236604E-4,1.325515E-1
9/9/2021  15:38:50.155147,1.089304E-3,1.973956E-1
9/9/2021  15:38:50.155147,1.169703E-3,1.308274E-1
9/9/2021  15:38:50.155148,1.139452E-3,1.343214E-1
9/9/2021  15:38:50.155148,9.841952E-4,1.243550E-1
9/9/2021  15:38:50.155149,9.401512E-4,2.292319E-1
9/9/2021  15:38:50.155149,8.566979E-4,7.130746E-2
9/9/2021  15:38:50.155150,9.336896E-4,1.973956E-1
9/9/2021  15:38:50.155150,1.044789E-3,1.171087E-1
9/9/2021  15:38:50.155151,8.934186E-4,1.370662E-1
9/9/2021  15:38:50.155151,9.808774E-4,9.347678E-2
9/9/2021  15:38:50.155152,1.155281E-3,2.129383E-1
9/9/2021  15:38:50.155152,1.169703E-3,2.639637E-1
9/9/2021  15:38:50.155153,1.191789E-3,5.123717E-2
9/9/2021  15:38:50.155153,1.185128E-3,2.074962E-1
9/9/2021  15:38:50.155154,1.048792E-3,1.460123E-1
9/9/2021  15:38:50.155154,1.251635E-3,-2.438541E-2
9/9/2021  15:38:50.155155,1.099093E-3,2.777064E-2
9/9/2021  15:38:50.155155,1.069893E-3,5.708078E-2
9/9/2021  15:38:50.155156,1.254608E-3,7.304057E-2
9/9/2021  15:38:50.155156,1.191789E-3,5.123717E-2
9/9/2021  15:38:50.155157,1.139452E-3,1.343214E-1
9/9/2021  15:38:50.155157,1.125470E-3,2.186689E-1
9/9/2021  15:38:50.155158,1.105431E-3,1.106572E-1
9/9/2021  15:38:50.155158,1.023170E-3,3.028849E-1
9/9/2021  15:38:50.155159,1.215008E-3,2.023216E-1
9/9/2021  15:38:50.155159,1.274859E-3,1.927008E-1
9/9/2021  15:38:50.155160,1.109216E-3,1.380060E-1
9/9/2021  15:38:50.155160,1.230244E-3,1.243550E-1
9/9/2021  15:38:50.155161,1.129600E-3,2.702045E-2
9/9/2021  15:38:50.155161,1.089304E-3,1.973956E-1
9/9/2021  15:38:50.155162,1.140269E-3,2.709469E-1
9/9/2021  15:38:50.155162,1.041664E-3,8.800737E-2
9/9/2021  15:38:50.155163,9.636341E-4,1.911845E-1
9/9/2021  15:38:50.155163,1.065969E-3,2.310907E-1
9/9/2021  15:38:50.155164,1.069893E-3,5.708078E-2
9/9/2021  15:38:50.155164,1.105431E-3,1.106572E-1
9/9/2021  15:38:50.155165,1.105431E-3,1.106572E-1
9/9/2021  15:38:50.155165,1.140269E-3,2.709469E-1
9/9/2021  15:38:50.155166,9.770719E-4,2.525543E-1
9/9/2021  15:38:50.155166,1.102478E-3,8.314123E-2
9/9/2021  15:38:50.155167,1.230244E-3,1.243550E-1
9/9/2021  15:38:50.155167,1.109216E-3,1.380060E-1
9/9/2021  15:38:50.155168,1.039426E-3,5.875582E-2
9/9/2021  15:38:50.155168,1.204228E-3,1.526493E-1
9/9/2021  15:38:50.155169,1.135768E-3,1.076899E-1
9/9/2021  15:38:50.155169,1.149219E-3,1.869793E-1
9/9/2021  15:38:50.155170,1.304826E-3,1.882215E-1
9/9/2021  15:38:50.155170,1.048792E-3,1.460123E-1
9/9/2021  15:38:50.155171,1.109216E-3,1.380060E-1
9/9/2021  15:38:50.155171,1.226832E-3,9.966865E-2
9/9/2021  15:38:50.155172,1.179219E-3,1.821683E-1
9/9/2021  15:38:50.155172,1.113824E-3,1.651487E-1
9/9/2021  15:38:50.155173,1.038081E-3,2.940329E-2
9/9/2021  15:38:50.155173,1.008962E-3,-6.053202E-2
9/9/2021  15:38:50.155174,1.109216E-3,1.380060E-1
9/9/2021  15:38:50.155174,1.102900E-3,2.516900E-1
9/9/2021  15:38:50.155175,1.139452E-3,1.343214E-1
9/9/2021  15:38:50.155175,9.884446E-4,1.549967E-1
9/9/2021  15:38:50.155176,1.073370E-3,2.587709E-1
9/9/2021  15:38:50.155176,1.148813E-3,2.965458E-1
9/9/2021  15:38:50.155177,9.583034E-4,1.599131E-1
9/9/2021  15:38:50.155177,1.095698E-3,2.247112E-1
9/9/2021  15:38:50.155178,9.841952E-4,1.243550E-1
9/9/2021  15:38:50.155178,1.199967E-3,1.275096E-1
9/9/2021  15:38:50.155179,1.132483E-3,2.449787E-1
9/9/2021  15:38:50.155179,1.239296E-3,1.732457E-1
9/9/2021  15:38:50.155180,1.215008E-3,2.023216E-1
9/9/2021  15:38:50.155180,9.558706E-4,2.914568E-1
9/9/2021  15:38:50.155181,1.222269E-3,4.995840E-2
9/9/2021  15:38:50.155181,1.078995E-3,1.418971E-1
9/9/2021  15:38:50.155182,1.008962E-3,6.053202E-2
9/9/2021  15:38:50.155182,1.100364E-3,5.549851E-2
9/9/2021  15:38:50.155183,1.174074E-3,1.566019E-1
9/9/2021  15:38:50.155183,1.221507E-3,2.267988E-1
9/9/2021  15:38:50.155184,1.239296E-3,1.732457E-1
9/9/2021  15:38:50.155184,1.113824E-3,1.651487E-1
9/9/2021  15:38:50.155185,1.048792E-3,1.460123E-1
9/9/2021  15:38:50.155185,1.199967E-3,1.275096E-1
9/9/2021  15:38:50.155186,1.209245E-3,1.775962E-1
9/9/2021  15:38:50.155186,1.258314E-3,2.449787E-1
9/9/2021  15:38:50.155187,1.199967E-3,1.275096E-1
9/9/2021  15:38:50.155187,1.075104E-3,1.137920E-1
9/9/2021  15:38:50.155188,1.089304E-3,1.973956E-1
