frame_size = 8000,  actual_sampling_rate/(S/sec) = 2000000.000000, carrier/Hz = 19999999.9953 
timestamp,amplitude,phase/rad
9/9/2021  16:14:42.660486,5.602470E-4,-2.083186E+0
9/9/2021  16:14:42.660487,4.658462E-4,-2.122451E+0
9/9/2021  16:14:42.660487,5.433682E-4,-2.475623E+0
9/9/2021  16:14:42.660488,5.501819E-4,-2.553590E+0
9/9/2021  16:14:42.660488,6.905570E-4,-2.356194E+0
9/9/2021  16:14:42.660489,5.602470E-4,-2.083186E+0
9/9/2021  16:14:42.660489,5.079307E-4,-2.142134E+0
9/9/2021  16:14:42.660490,4.401455E-4,-2.158799E+0
9/9/2021  16:14:42.660490,7.387770E-4,-2.239086E+0
9/9/2021  16:14:42.660491,7.450539E-4,-2.181522E+0
9/9/2021  16:14:42.660491,7.647939E-4,-2.070143E+0
9/9/2021  16:14:42.660492,5.862431E-4,-2.245537E+0
9/9/2021  16:14:42.660492,8.479558E-4,-2.098871E+0
9/9/2021  16:14:42.660493,6.291570E-4,-1.969319E+0
9/9/2021  16:14:42.660493,5.830570E-4,-2.319174E+0
9/9/2021  16:14:42.660494,6.776228E-4,-2.196281E+0
9/9/2021  16:14:42.660494,8.126204E-4,-2.169215E+0
9/9/2021  16:14:42.660495,7.025909E-4,-2.170847E+0
9/9/2021  16:14:42.660495,7.025909E-4,-2.170847E+0
9/9/2021  16:14:42.660496,5.925640E-4,-2.173084E+0
9/9/2021  16:14:42.660496,5.399291E-4,-2.316216E+0
9/9/2021  16:14:42.660497,7.506583E-4,-2.034444E+0
9/9/2021  16:14:42.660497,6.665362E-4,-1.849096E+0
9/9/2021  16:14:42.660498,6.042374E-4,-2.356194E+0
9/9/2021  16:14:42.660498,5.399291E-4,-2.316216E+0
9/9/2021  16:14:42.660499,6.291570E-4,-2.253113E+0
9/9/2021  16:14:42.660499,6.416168E-4,-2.013171E+0
9/9/2021  16:14:42.660500,4.443575E-4,-1.849096E+0
9/9/2021  16:14:42.660500,5.079307E-4,-2.142134E+0
9/9/2021  16:14:42.660501,7.987481E-4,-2.329174E+0
9/9/2021  16:14:42.660501,6.291570E-4,-2.253113E+0
9/9/2021  16:14:42.660502,7.702546E-4,-2.158799E+0
9/9/2021  16:14:42.660502,6.488343E-4,-2.289626E+0
9/9/2021  16:14:42.660503,4.968068E-4,-2.399645E+0
9/9/2021  16:14:42.660503,7.124638E-4,-2.386488E+0
9/9/2021  16:14:42.660504,7.450539E-4,-2.181522E+0
9/9/2021  16:14:42.660504,7.647939E-4,-2.070143E+0
9/9/2021  16:14:42.660505,7.118099E-4,-2.111216E+0
9/9/2021  16:14:42.660505,5.610776E-4,-2.356194E+0
9/9/2021  16:14:42.660506,5.407909E-4,-1.856848E+0
9/9/2021  16:14:42.660506,5.610776E-4,-2.356194E+0
9/9/2021  16:14:42.660507,5.399291E-4,-2.316216E+0
9/9/2021  16:14:42.660507,5.005422E-4,-2.226492E+0
9/9/2021  16:14:42.660508,5.338574E-4,-2.111216E+0
9/9/2021  16:14:42.660508,4.776916E-4,-2.034444E+0
9/9/2021  16:14:42.660509,6.488343E-4,-2.289626E+0
9/9/2021  16:14:42.660509,4.968068E-4,-2.312744E+0
9/9/2021  16:14:42.660510,4.506017E-4,-2.064738E+0
9/9/2021  16:14:42.660510,5.188162E-4,-2.060754E+0
9/9/2021  16:14:42.660511,6.011467E-4,-1.989021E+0
