frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.050591,0.984634
0.050532,0.985306
0.050574,0.985137
0.050633,0.982292
0.050625,0.983630
0.050515,0.981453
0.050608,0.981957
0.050633,0.980119
0.050549,0.980449
0.050608,0.979783
0.050566,0.979948
0.050609,0.977609
0.050583,0.977272
0.050532,0.978774
0.050592,0.975934
0.050626,0.974936
0.050592,0.975934
0.050584,0.975096
0.050559,0.974758
0.050627,0.972762
0.050601,0.974597
0.050687,0.972106
0.050645,0.972264
0.050610,0.973261
0.050646,0.970092
0.050544,0.970903
0.050578,0.969907
0.050603,0.970248
0.050613,0.968913
0.050605,0.968074
0.050638,0.969254
0.050698,0.968602
0.050580,0.967732
0.050597,0.967235
0.050613,0.968913
0.050597,0.967235
0.050572,0.966893
0.050605,0.968074
0.050547,0.966550
0.050497,0.965863
0.050665,0.967423
0.050589,0.966396
0.050564,0.966053
0.050649,0.965747
0.050597,0.967235
0.050564,0.966053
0.050589,0.966396
0.050572,0.966893
0.050529,0.967047
0.050647,0.967919
0.050580,0.967732
0.050556,0.965213
0.050613,0.968913
0.050588,0.968571
0.050641,0.964909
0.050588,0.968571
0.050562,0.968229
0.050562,0.968229
0.050614,0.966739
0.050622,0.967578
0.050562,0.968229
0.050622,0.967578
0.050578,0.969907
0.050613,0.968913
0.050603,0.970248
0.050511,0.969723
0.050586,0.970746
0.050569,0.971244
0.050552,0.971743
0.050577,0.972083
0.050577,0.972083
0.050551,0.973919
0.050552,0.971743
0.050533,0.974419
0.050559,0.974758
0.050550,0.976096
0.050576,0.974258
0.050558,0.976934
0.050617,0.978446
0.050617,0.976272
0.050574,0.978610
0.050600,0.978946
0.050591,0.978109
0.050557,0.981287
0.050557,0.979110
0.050574,0.980785
0.050557,0.983463
0.050540,0.983966
0.050540,0.981789
0.050481,0.984638
0.050566,0.984300
0.050574,0.985137
0.050583,0.985973
0.050540,0.986143
0.050566,0.988652
0.050532,0.987484
0.050524,0.988825
0.050550,0.989157
0.050550,0.989157
0.050593,0.991159
0.050491,0.992014
0.050559,0.992169
0.050526,0.993180
0.050544,0.994851
0.050577,0.993839
0.050621,0.995836
0.050595,0.995508
0.050503,0.997208
0.050512,0.998043
0.050538,0.998370
0.050514,1.000221
0.050582,1.000365
0.050542,1.002724
0.050565,1.000873
0.050549,1.001381
0.050577,1.003882
0.050483,1.003418
0.050563,1.006567
0.050511,1.005921
0.050518,1.004577
0.050504,1.007265
0.050572,1.007400
0.050472,1.008287
0.050569,1.010918
0.050507,1.009443
0.050533,1.009764
0.050569,1.010918
0.050520,1.012453
0.050514,1.013798
0.050540,1.014117
0.050498,1.014311
0.050507,1.015143
0.050523,1.014630
0.050491,1.015657
0.050453,1.018032
0.050553,1.017124
0.050499,1.020012
0.050515,1.019498
0.050515,1.019498
0.050509,1.020843
0.050493,1.021359
0.050550,1.024164
0.050529,1.022505
0.050466,1.024569
0.050476,1.025400
0.050460,1.025917
0.050434,1.025603
0.050481,1.027577
0.050455,1.027265
0.050543,1.029031
0.050528,1.029548
