frame_size = 2000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.044580,-1.236706
0.044618,-1.238447
0.044607,-1.241257
0.044597,-1.241905
0.044626,-1.242125
0.044596,-1.246233
0.044615,-1.249262
0.044606,-1.249911
0.044645,-1.251640
0.044596,-1.250561
0.044673,-1.251854
0.044644,-1.247316
0.044616,-1.242773
0.044629,-1.235638
0.044671,-1.230897
0.044667,-1.225061
0.044607,-1.218752
0.044610,-1.216590
0.044592,-1.215710
0.044610,-1.216590
0.044586,-1.220037
0.044536,-1.221089
0.044601,-1.223078
0.044620,-1.223954
0.044685,-1.225935
0.044566,-1.229339
0.044632,-1.231314
0.044593,-1.231731
0.044602,-1.233250
0.044718,-1.231996
0.044578,-1.226529
0.044630,-1.223311
0.044586,-1.220037
0.044642,-1.214666
0.044592,-1.215710
0.044556,-1.213950
0.044670,-1.214904
0.044674,-1.212745
0.044599,-1.211385
0.044631,-1.209465
0.044606,-1.207061
0.044668,-1.205388
0.044643,-1.202984
0.044609,-1.201216
0.044696,-1.205632
0.044596,-1.207700
0.044635,-1.207304
0.044631,-1.209465
0.044589,-1.206178
0.044637,-1.201463
0.044574,-1.199444
0.044556,-1.198557
0.044664,-1.198030
0.044664,-1.198030
0.044620,-1.200578
0.044643,-1.202984
0.044611,-1.204900
0.044598,-1.201854
0.044642,-1.199303
0.044579,-1.197282
0.044635,-1.194099
0.044617,-1.193211
0.044578,-1.189909
0.044691,-1.190924
0.044629,-1.192576
0.044635,-1.194099
0.044561,-1.192706
0.044606,-1.190163
0.044606,-1.193847
0.044720,-1.194852
0.044686,-1.196758
0.044534,-1.199834
0.044607,-1.197532
0.044635,-1.197781
0.044561,-1.196394
0.044567,-1.194232
0.044612,-1.191687
0.044600,-1.192323
0.044617,-1.189528
0.044601,-1.184953
0.044642,-1.180896
0.044556,-1.183803
0.044596,-1.183428
0.044619,-1.182161
0.044602,-1.181269
0.044576,-1.177322
0.044627,-1.176321
0.044547,-1.177059
0.044576,-1.177322
0.044620,-1.178478
0.044625,-1.180003
0.044596,-1.183428
0.044601,-1.184953
0.044617,-1.189528
0.044583,-1.187748
0.044600,-1.192323
0.044589,-1.192959
0.044595,-1.194484
0.044567,-1.194232
0.044585,-1.198806
0.044631,-1.199940
0.044607,-1.197532
0.044501,-1.201751
0.044580,-1.200968
0.044620,-1.200578
0.044579,-1.197282
0.044555,-1.194869
0.044635,-1.194099
0.044617,-1.189528
0.044618,-1.185844
0.044602,-1.181269
0.044637,-1.179371
0.044660,-1.178108
0.044606,-1.173900
0.044566,-1.174267
0.044611,-1.175426
0.044592,-1.178216
0.044664,-1.183311
0.044561,-1.189018
0.044561,-1.192706
0.044552,-1.200721
0.044622,-1.204261
0.044642,-1.208825
0.044563,-1.209621
0.044660,-1.209706
0.044635,-1.207304
0.044560,-1.205934
0.044514,-1.204804
0.044602,-1.199692
0.044567,-1.197920
0.044533,-1.196144
0.044572,-1.192070
0.044555,-1.191180
0.044629,-1.188893
0.044527,-1.187235
0.044691,-1.187247
0.044629,-1.188893
0.044589,-1.189273
0.044606,-1.193847
0.044585,-1.198806
0.044609,-1.201216
0.044593,-1.204016
0.044543,-1.205049
0.044613,-1.208583
0.044556,-1.208098
0.044613,-1.208583
0.044581,-1.210503
0.044581,-1.210503
0.044642,-1.208825
0.044574,-1.208981
0.044556,-1.208098
0.044624,-1.207943
0.044617,-1.206422
0.044567,-1.207457
0.044563,-1.209621
0.044567,-1.213308
0.044606,-1.212907
0.044635,-1.213146
0.044524,-1.215876
0.044535,-1.215234
0.044547,-1.220445
0.044594,-1.221558
0.044617,-1.226116
0.044566,-1.229339
0.044605,-1.228923
0.044634,-1.229152
0.044675,-1.226578
0.044570,-1.225009
0.044625,-1.219630
0.044596,-1.219394
0.044609,-1.224597
0.044558,-1.227818
0.044564,-1.231504
0.044585,-1.230213
0.044573,-1.233023
0.044612,-1.232604
0.044566,-1.229339
0.044626,-1.227634
0.044646,-1.226347
0.044622,-1.221792
0.044539,-1.226943
0.044595,-1.229568
0.044589,-1.225885
0.044642,-1.230669
0.044632,-1.231314
0.044560,-1.238000
0.044597,-1.241905
0.044578,-1.243200
0.044654,-1.246668
0.044587,-1.246881
0.044587,-1.251210
0.044558,-1.253161
0.044635,-1.254451
0.044587,-1.255539
0.044579,-1.258355
0.044572,-1.263337
0.044610,-1.262892
0.044589,-1.259868
0.044607,-1.256402
0.044625,-1.252938
0.044683,-1.251206
0.044645,-1.251640
0.044577,-1.249695
0.044596,-1.248397
0.044577,-1.249695
0.044567,-1.250345
0.044596,-1.252725
0.044636,-1.256613
0.044531,-1.259449
0.044562,-1.263989
0.044622,-1.266565
0.044626,-1.270890
0.044631,-1.275213
0.044586,-1.278487
0.044607,-1.279340
0.044645,-1.278881
0.044610,-1.281502
0.044642,-1.276720
0.044548,-1.269628
0.044680,-1.266974
0.044526,-1.266603
0.044557,-1.268974
0.044568,-1.270485
0.044541,-1.272449
0.044590,-1.273505
0.044613,-1.276522
0.044566,-1.277634
0.044607,-1.279340
0.044581,-1.281307
0.044684,-1.285554
0.044582,-1.288453
0.044620,-1.287987
0.044591,-1.287796
0.044541,-1.286756
0.044512,-1.286563
0.044563,-1.282619
0.044578,-1.279143
0.044551,-1.281111
0.044522,-1.280915
0.044584,-1.283470
0.044605,-1.284320
0.044545,-1.288921
0.044649,-1.293154
0.044616,-1.295785
0.044599,-1.297102
0.044562,-1.297577
0.044567,-1.299740
0.044577,-1.304064
0.044606,-1.304244
0.044545,-1.306707
0.044564,-1.310370
0.044586,-1.311208
0.044562,-1.313194
0.044546,-1.317343
0.044545,-1.320168
0.044618,-1.324822
0.044507,-1.323489
0.044604,-1.320507
0.044546,-1.317343
0.044550,-1.308870
0.044545,-1.306707
0.044547,-1.303883
0.044550,-1.301060
0.044467,-1.302678
0.044567,-1.299740
0.044555,-1.303223
0.044494,-1.305687
0.044550,-1.308870
0.044570,-1.312532
0.044524,-1.316508
0.044530,-1.318670
0.044463,-1.321822
0.044575,-1.317515
0.044523,-1.319334
0.044508,-1.320662
0.044500,-1.324154
0.044574,-1.325984
0.044566,-1.329472
0.044500,-1.329810
0.044567,-1.332295
0.044584,-1.336609
0.044495,-1.336132
0.044509,-1.334798
0.044605,-1.334613
0.044502,-1.335465
0.044457,-1.333810
0.044509,-1.334798
0.044553,-1.333626
0.044523,-1.333465
0.044537,-1.332133
0.044559,-1.330137
0.044537,-1.332133
