frame_size = 200000,  actual_sampling_rate/(S/sec) = 200000.000000, carrier/Hz = 19999999.9721 
amplitude,phase/rad
0.046647,-1.809904
0.046691,-1.811019
0.046588,-1.810214
0.046698,-1.811654
0.046646,-1.812601
0.046646,-1.812601
0.046668,-1.814506
0.046720,-1.813557
0.046705,-1.814983
0.046616,-1.815457
0.046676,-1.815141
0.046698,-1.817043
0.046661,-1.816568
0.046639,-1.817362
0.046661,-1.819265
0.046698,-1.819738
0.046632,-1.819426
0.046654,-1.821328
0.046691,-1.821799
0.046669,-1.822595
0.046669,-1.822595
0.046684,-1.821166
0.046722,-1.824330
0.046655,-1.824025
0.046708,-1.825759
0.046700,-1.825126
0.046664,-1.827354
0.046627,-1.826887
0.046664,-1.827354
0.046717,-1.829084
0.046680,-1.828619
0.046658,-1.829418
0.046614,-1.831019
0.046660,-1.832115
0.046622,-1.831652
0.046697,-1.832577
0.046734,-1.833039
0.046675,-1.833378
0.046624,-1.834350
0.046670,-1.835443
0.046627,-1.837048
0.046619,-1.836417
0.046678,-1.836074
0.046715,-1.836533
0.046635,-1.837680
0.046689,-1.839399
0.046600,-1.839920
0.046697,-1.840029
0.046667,-1.840203
0.046617,-1.841182
0.046641,-1.843074
0.046662,-1.842268
0.046641,-1.843074
0.046620,-1.843881
0.046591,-1.844057
0.046691,-1.846851
0.046712,-1.846045
0.046603,-1.847387
0.046632,-1.847208
0.046636,-1.849905
0.046695,-1.849545
0.046628,-1.849276
0.046729,-1.852056
0.046653,-1.851163
0.046678,-1.853047
0.046662,-1.851791
0.046632,-1.851973
0.046675,-1.855114
0.046713,-1.855557
0.046713,-1.855557
0.046625,-1.856109
0.046613,-1.857550
0.046701,-1.856995
0.046642,-1.857365
0.046639,-1.859433
0.046677,-1.859873
0.046665,-1.861314
0.046618,-1.860247
0.046691,-1.863192
0.046680,-1.864633
0.046633,-1.863569
0.046738,-1.864254
0.046688,-1.865258
0.046735,-1.866319
0.046648,-1.866890
0.046706,-1.866509
0.046657,-1.867516
0.046762,-1.868192
0.046681,-1.871458
0.046596,-1.869969
0.046643,-1.871027
0.046661,-1.872277
0.046643,-1.871027
0.046592,-1.874111
0.046650,-1.873720
0.046679,-1.873525
0.046700,-1.872707
0.046649,-1.875789
0.046687,-1.876216
0.046678,-1.875592
0.046687,-1.876216
0.046696,-1.876839
0.046695,-1.878906
0.046695,-1.878906
0.046771,-1.879754
0.046666,-1.879104
0.046704,-1.879528
0.046646,-1.879926
0.046704,-1.879528
0.046626,-1.880749
0.046626,-1.880749
0.046721,-1.882838
0.046751,-1.882638
0.046683,-1.882417
0.046712,-1.882217
0.046673,-1.883862
0.046721,-1.884904
0.046682,-1.884484
0.046643,-1.886133
0.046673,-1.883862
0.046730,-1.885525
0.046682,-1.886552
0.046711,-1.884283
0.046711,-1.886349
0.046682,-1.886552
0.046672,-1.887998
0.046691,-1.887173
0.046701,-1.887794
0.046633,-1.887580
0.046749,-1.888831
0.046739,-1.888211
0.046700,-1.889860
0.046749,-1.888831
0.046623,-1.886958
0.046748,-1.890895
0.046691,-1.889240
0.046652,-1.890892
0.046662,-1.889445
0.046604,-1.889855
0.046758,-1.893579
0.046662,-1.889445
0.046652,-1.890892
0.046768,-1.892134
0.046681,-1.890686
0.046748,-1.890895
0.046739,-1.890276
0.046671,-1.890065
0.046623,-1.889028
0.046690,-1.891307
0.046729,-1.891721
0.046778,-1.888627
0.046700,-1.889860
0.046739,-1.890276
0.046739,-1.890276
0.046719,-1.891101
0.046719,-1.891101
0.046681,-1.890686
0.046691,-1.889240
0.046671,-1.890065
0.046633,-1.889650
0.046739,-1.888211
0.046652,-1.888823
0.046652,-1.890892
0.046662,-1.889445
0.046662,-1.889445
0.046671,-1.890065
0.046681,-1.888619
0.046643,-1.888202
0.046585,-1.888611
0.046681,-1.888619
0.046662,-1.887376
0.046662,-1.887376
0.046691,-1.887173
0.046691,-1.887173
0.046682,-1.886552
0.046778,-1.886564
0.046711,-1.886349
0.046673,-1.883862
0.046643,-1.886133
0.046682,-1.886552
0.046702,-1.883661
0.046653,-1.884686
0.046653,-1.884686
0.046653,-1.884686
0.046663,-1.883240
0.046692,-1.883039
0.046682,-1.884484
0.046645,-1.881995
0.046674,-1.881795
0.046683,-1.882417
0.046663,-1.883240
0.046693,-1.880972
0.046655,-1.880549
0.046645,-1.881995
0.046684,-1.880350
0.046635,-1.881372
0.046626,-1.880749
0.046724,-1.878708
0.046695,-1.878906
0.046656,-1.878481
0.046666,-1.879104
0.046666,-1.879104
0.046705,-1.877462
0.046618,-1.878055
0.046658,-1.876413
0.046620,-1.875985
0.046647,-1.877857
0.046649,-1.875789
